iso,country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
abw,Aruba,,,,,,,,,,,,6.078,6.428,6.022,5.058,5.983,7.169,6.126,3.25,4.793,6.923,6.489,8.131,11.4,9.5,8.8,9.3,5.71,6.9,10.3,10.6,8.879,9.607,7.599,7.451,7.298,7.694,8.923,7.283,5.2,8.6,8.8,7.774,7.672,7.639,7.64,7.67,7.656
alb,Albania,5.028,4.224,2.813,3.335,4.41,5.853,5.43,5.164,6.033,6.721,8.457,8.9,26.5,22.3,18.4,12.9,12.3,14.9,17.7,18.4,16.8,16.44,15.751,15.0,14.4,14.1,13.8,13.4,13.1,13.8,14.0,14.0,13.4,15.9,17.5,17.1,15.2,13.7,12.3,11.47,11.675,10.6,10.3,10.0,10.0,10.0,10.0,10.0
and,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.225,3.975,6.175,6.325,5.8,3.575,3.025,1.725,1.525,1.775,2.85,2.875,2.0,1.8,1.675,1.675,1.675,1.675
arg,Argentina,3.0,5.0,4.5,5.0,5.0,6.25,6.3,6.0,6.5,8.0,7.6,6.48,7.112,11.606,13.348,18.904,18.76,16.808,14.789,16.061,17.134,19.209,22.45,17.25,13.625,11.575,10.175,8.475,7.875,8.675,7.75,7.15,7.2,7.075,7.25,6.533,8.467,8.35,9.2,9.825,11.55,8.725,6.9,6.9,6.9,6.9,6.9,6.9
arm,Armenia,,,,,,,,,,,,,,,,,,,,,,38.4,35.3,31.2,31.6,31.2,27.8,28.7,16.4,18.7,19.0,18.4,17.3,16.2,17.6,18.5,18.0,17.8,19.0,18.3,18.1,15.3,15.2,15.1,14.9,14.8,14.7,14.6
aus,Australia,6.133,5.783,7.183,9.967,8.967,8.258,8.117,8.108,7.2,6.133,6.942,9.617,10.742,10.883,9.717,8.483,8.525,8.367,7.692,6.867,6.292,6.775,6.367,5.942,5.392,5.042,4.792,4.375,4.258,5.575,5.208,5.083,5.233,5.658,6.058,6.058,5.708,5.6,5.292,5.167,6.483,5.092,3.644,3.727,4.248,4.505,4.657,4.773
aut,Austria,1.6,2.2,3.1,3.7,3.8,3.6,3.1,3.8,2.676,2.348,2.723,3.151,3.29,3.958,3.85,4.242,4.717,4.758,4.708,4.142,3.883,4.008,4.392,4.792,5.875,6.033,5.6,5.217,4.425,5.683,5.175,4.892,5.242,5.35,6.042,6.158,6.45,5.925,5.233,4.817,5.4,6.167,4.467,4.6,4.5,4.3,4.3,4.3
aze,Azerbaijan,,,,,,,,,,,,,,,,,,,,,11.777,10.913,10.037,9.167,7.987,7.256,6.615,6.326,5.856,5.742,5.631,5.424,5.185,4.973,4.913,4.958,5.043,4.961,4.944,4.848,7.157,5.952,5.886,5.82,5.755,5.691,5.627,5.564
bel,Belgium,8.3,10.0,11.5,10.742,10.825,10.117,10.05,9.808,8.833,7.367,6.558,6.45,7.092,8.625,9.75,9.683,9.55,9.217,9.342,8.425,6.858,6.567,7.525,8.175,8.383,8.475,8.267,7.492,6.967,7.992,8.383,7.208,7.65,8.55,8.658,8.658,7.925,7.167,6.042,5.458,5.75,6.267,5.446,5.633,5.633,5.571,5.517,5.468
bgr,Bulgaria,,,,,,,,,,0.025,2.9,6.78,13.24,15.84,14.05,11.37,10.988,14.023,12.367,13.79,18.134,17.514,17.416,13.857,12.192,10.177,9.022,6.935,5.664,6.878,10.306,11.35,12.379,13.038,11.524,9.233,7.666,6.23,5.273,4.275,5.207,5.346,5.13,4.7,4.4,4.2,4.2,4.2
bhr,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,3.7,4.0,3.6,4.0,3.7,4.4,3.8,3.4,3.7,3.58,3.885,4.7,5.9,6.6,5.548,4.403,3.951,3.951,3.951,3.951
bhs,The Bahamas,,,,,,,12.2,11.5,11.0,11.7,12.0,12.3,14.8,13.1,13.292,10.9,11.505,9.779,7.743,7.796,7.0,6.9,9.102,10.835,10.202,10.17,7.628,7.853,8.703,14.246,15.082,15.889,14.367,15.782,14.636,13.379,12.15,10.1,10.35,10.1,25.55,18.145,13.878,12.74,12.306,11.87,11.607,11.431
bih,Bosnia and Herzegovina,,,,,,,,,,,,,,,,70.0,50.0,32.296,29.334,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,29.0,23.4,24.1,27.2,27.6,28.0,27.5,27.5,27.7,25.4,20.5,18.4,15.7,15.9,17.4,17.3,17.2,17.165,17.125,17.135,17.145
blr,Belarus,,,,,,,,,,,,,,6.281,6.947,7.703,8.774,7.6,7.174,6.947,6.961,7.096,7.471,7.931,7.347,6.57,6.295,5.962,5.844,5.808,5.738,5.588,5.536,5.436,5.417,5.821,5.92,5.684,4.825,4.191,4.082,3.925,4.5,4.307,3.9,3.803,3.754,3.754
blz,Belize,,,,,,,,,,,15.0,14.0,12.0,10.0,9.0,12.5,13.8,12.7,14.3,12.8,11.4,11.4,10.0,12.9,11.6,11.0,9.4,10.3,8.2,12.827,18.515,16.726,15.275,12.926,11.6,10.143,9.541,9.328,9.377,9.041,13.743,10.188,8.488,8.012,7.902,7.791,7.68,7.57
bol,Bolivia,,,,,,,,,,,,,,,,,,,,,7.462,8.498,8.69,8.708,8.427,8.146,7.992,7.668,4.43,4.913,4.375,3.837,3.229,4.0,4.0,4.0,4.67,5.08,4.88,5.16,8.47,7.0,4.5,4.0,4.0,4.0,4.0,4.0
bra,Brazil,,,,,,,,,,,,10.1,11.6,11.0,10.5,9.9,11.2,11.6,14.7,14.7,13.9,12.5,13.0,13.7,12.9,11.4,11.5,10.9,9.4,9.7,8.5,7.8,7.4,7.225,6.9,8.625,11.65,12.85,12.375,11.975,13.775,13.2,9.771,9.457,9.477,9.497,9.493,9.49
brb,Barbados,,10.76,13.65,14.945,17.037,18.631,17.735,17.934,17.137,15.244,14.945,17.236,22.915,24.41,21.75,19.625,15.75,14.55,12.15,10.35,9.35,9.85,10.3,11.0,9.575,9.075,8.725,7.425,8.125,9.975,10.25,11.15,11.5,11.625,12.275,11.3,9.65,9.95,10.05,10.088,21.279,14.127,10.846,10.03,9.941,9.879,9.813,9.493
brn,Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,8.5,7.7,6.9,7.7,8.5,9.3,8.7,6.822,6.822,6.822,6.822,6.822,6.822,6.822,6.822,6.822
btn,Bhutan,,,,,,,,,,,,,,,,,,,,,,,,1.8,2.5,3.1,3.2,3.7,3.85,4.0,3.3,3.1,2.1,2.9,2.6,2.5,2.1,3.138,3.4,2.3,5.0,4.8,,,,,,
can,Canada,7.517,7.617,11.1,12.0,11.375,10.508,9.608,8.8,7.775,7.508,8.15,10.317,11.217,11.375,10.392,9.467,9.608,9.092,8.292,7.567,6.833,7.225,7.667,7.583,7.15,6.767,6.325,6.075,6.2,8.375,8.075,7.55,7.375,7.133,6.967,6.942,7.05,6.383,5.908,5.75,9.583,7.433,5.291,5.856,6.242,6.099,5.998,5.999
che,Switzerland,0.209,0.19,0.428,0.85,1.138,0.982,0.832,0.798,0.72,0.564,0.501,1.083,2.549,4.504,4.723,4.233,4.656,5.199,3.856,2.723,1.824,1.703,2.546,3.691,3.879,3.763,3.332,2.766,2.577,3.701,3.516,2.843,2.905,3.158,3.044,3.178,3.323,3.088,2.547,2.306,3.17,2.993,2.23,2.35,2.5,2.5,2.5,2.5
chl,Chile,11.502,10.291,19.814,20.999,17.515,14.975,12.299,10.984,9.875,7.98,7.75,8.217,6.7,6.5,7.808,7.375,6.5,6.108,6.217,10.008,9.708,9.867,9.8,9.533,10.017,9.3,7.95,7.008,7.75,11.053,8.305,7.3,6.595,6.082,6.495,6.328,6.685,6.965,7.377,7.223,10.77,8.862,7.852,8.349,8.15,7.758,7.404,7.229
chn,China,4.9,3.8,3.2,2.3,1.9,1.8,2.0,2.0,2.0,2.6,2.5,2.3,2.3,2.6,2.8,2.9,3.0,3.1,3.1,3.1,3.1,3.6,4.0,4.3,4.2,4.2,4.1,4.0,4.2,4.3,4.14,4.09,4.09,4.05,4.09,4.05,4.02,3.9,3.8,3.62,4.24,3.96,4.2,4.1,3.9,3.8,3.7,3.6
col,Colombia,5.429,6.561,7.1,8.694,8.986,8.742,7.654,7.361,6.451,6.792,6.637,6.377,5.935,5.038,4.914,5.649,7.8,7.9,9.7,13.1,13.325,14.975,15.583,14.108,13.667,11.808,12.042,11.192,11.25,12.192,11.967,10.958,10.5,9.733,9.183,8.942,9.217,9.292,9.508,10.375,15.867,13.8,11.288,11.053,10.495,10.049,9.98,9.911
cpv,Cabo Verde,21.5,21.861,22.229,22.603,22.982,23.369,23.762,24.161,24.567,24.98,25.4,25.827,26.0,26.0,26.0,26.0,25.0,25.0,24.0,22.0,20.0,21.0,20.5,20.0,19.5,21.4,13.5,15.2,13.0,13.0,10.7,12.2,16.8,16.4,15.8,12.4,15.0,12.2,12.2,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
cri,Costa Rica,5.921,8.766,9.405,9.231,5.361,6.846,6.229,5.577,5.461,3.774,4.642,5.5,4.1,4.1,4.2,5.2,6.2,5.7,5.6,6.022,5.193,6.072,6.403,6.668,6.495,6.63,5.962,4.597,4.948,7.822,9.213,10.492,9.849,8.311,9.658,9.604,9.541,9.293,11.951,12.417,19.98,13.68,12.5,13.2,13.0,12.0,10.5,9.0
cyp,Cyprus,,,2.8,3.3,3.3,3.3,3.7,3.4,2.8,2.3,1.8,3.0,1.825,2.7,2.7,2.6,3.1,3.4,3.4,3.6,4.842,3.925,3.517,4.108,4.625,5.3,4.55,3.925,3.65,5.325,6.275,7.85,11.8,15.85,16.075,14.9,12.95,11.05,8.35,7.075,7.575,7.475,6.728,6.544,6.258,5.979,5.602,5.223
cze,Czech Republic,,,,,,,,,,,,,,,,4.0,3.9,4.775,6.491,8.72,8.757,8.113,7.27,7.77,8.344,7.932,7.128,5.306,4.377,6.703,7.284,6.708,6.975,6.949,6.111,5.021,3.946,2.89,2.243,2.001,2.541,2.82,2.5,2.3,2.3,2.3,2.3,2.3
deu,Germany,3.359,4.831,6.734,8.099,8.058,8.124,7.834,7.843,7.735,6.79,6.155,5.47,6.592,7.775,8.425,8.233,8.908,9.658,9.383,8.558,7.95,7.8,8.6,9.708,10.333,11.008,10.042,8.542,7.425,7.225,6.575,5.517,5.083,4.95,4.708,4.367,3.908,3.567,3.208,2.975,3.625,3.575,2.938,3.39,3.293,3.216,2.951,2.951
dnk,Denmark,5.287,7.133,7.602,8.375,7.925,6.617,4.983,5.0,5.658,6.825,7.167,7.867,8.608,9.533,7.733,6.758,6.317,5.242,4.883,5.108,4.317,4.508,4.642,5.433,5.517,4.8,3.9,3.775,3.708,6.383,7.75,7.767,7.808,7.383,6.85,6.292,6.017,5.817,5.1,5.042,5.642,5.083,5.2,5.3,5.1,5.0,5.0,5.0
dom,Dominican Republic,,,,,,,,,,,,9.237,9.537,9.337,7.387,7.287,7.537,7.187,7.387,6.287,8.05,9.083,8.479,8.674,7.879,8.237,7.075,6.452,5.959,6.835,6.52,7.613,8.407,9.196,8.538,7.328,7.08,5.509,5.656,6.167,5.829,7.351,6.442,6.2,6.0,6.0,6.0,6.0
dza,Algeria,15.789,15.385,15.0,14.286,16.536,16.901,18.356,20.056,21.801,18.1,19.757,20.263,21.368,23.152,24.362,28.105,27.986,27.961,28.021,29.293,29.496,27.306,25.664,23.716,17.656,15.265,12.512,13.793,11.343,10.167,9.961,9.971,10.969,9.829,10.6,11.214,10.498,11.709,11.731,11.383,,,,,,,,
ecu,Ecuador,,,,,,,,,7.0,7.9,6.1,8.5,8.9,8.3,5.696,5.493,9.046,7.828,10.163,13.107,7.625,9.554,7.828,10.163,7.219,7.095,6.687,6.923,5.95,6.47,5.02,4.21,4.12,4.15,3.8,4.77,5.21,4.62,3.69,3.84,5.346,4.15,3.954,3.783,3.698,3.671,3.644,3.644
egy,Egypt,,,,,,,,,,,8.044,8.791,8.952,10.911,11.143,11.176,9.467,8.671,7.955,7.692,8.995,8.808,10.05,11.275,10.526,11.468,10.917,9.205,8.676,9.367,9.21,10.379,12.373,12.992,13.365,12.859,12.705,12.245,10.932,8.612,8.296,7.292,7.323,7.295,7.289,7.063,6.91,6.72
esp,Spain,11.011,13.755,15.77,17.215,19.937,21.305,20.907,20.223,19.238,17.24,16.238,16.313,18.353,22.64,24.118,22.9,22.08,20.61,18.605,15.64,13.857,10.54,11.45,11.485,10.965,9.153,8.453,8.233,11.245,17.855,19.858,21.39,24.788,26.095,24.443,22.058,19.635,17.225,15.255,14.105,15.533,14.785,12.686,12.302,12.103,11.997,12.0,12.0
est,Estonia,,,,,,,,,,,,,,6.526,7.546,9.645,9.881,9.65,9.831,12.201,14.602,13.009,11.227,10.342,10.14,8.031,5.912,4.592,5.455,13.549,16.707,12.325,10.023,8.628,7.351,6.185,6.758,5.763,5.371,4.448,6.806,6.181,6.592,6.825,6.621,6.207,5.517,4.828
fin,Finland,5.288,5.743,6.076,6.147,5.928,6.049,6.665,4.9,4.208,3.108,3.2,6.7,11.8,16.5,16.7,15.5,14.6,12.7,11.5,10.275,9.875,9.2,9.175,9.075,8.875,8.475,7.775,6.95,6.425,8.325,8.5,7.9,7.8,8.325,8.825,9.575,8.975,8.825,7.425,6.733,7.758,7.608,7.049,7.44,7.35,7.25,7.15,7.1
fji,Fiji,,,,,,,9.551,11.908,12.003,7.789,8.172,7.534,6.895,7.534,7.278,6.895,3.742,4.183,4.628,5.071,5.512,5.951,6.388,6.822,7.255,7.3,7.7,8.6,8.8,8.7,7.1,7.1,6.8,6.367,6.2,5.5,5.5,4.5,4.5,4.5,13.351,9.0,6.5,5.5,5.0,4.7,4.5,4.5
fra,France,6.349,7.438,8.069,7.383,8.458,8.7,8.875,9.15,8.842,8.7,8.4,8.617,9.442,10.267,10.667,10.508,10.833,10.892,10.692,10.442,9.175,8.458,8.275,8.517,8.875,8.875,8.85,8.025,7.442,9.117,9.267,9.208,9.775,10.3,10.275,10.35,10.067,9.417,9.025,8.408,8.025,7.867,7.454,7.555,7.515,7.454,7.42,7.362
gbr,United Kingdom,7.133,9.65,10.725,11.475,11.75,11.375,11.325,10.425,8.575,7.225,7.1,8.85,9.95,10.375,9.5,8.625,8.1,6.95,6.25,5.975,5.45,5.1,5.2,5.0,4.75,4.825,5.425,5.35,5.725,7.625,7.9,8.1,7.975,7.575,6.2,5.375,4.875,4.425,4.075,3.825,4.55,4.475,3.825,4.763,4.975,4.275,4.2,4.2
geo,Georgia,,,,,,,,,,,,,,,,,12.715,7.551,12.381,12.628,10.3,11.1,13.5,12.7,13.9,15.1,15.4,17.4,17.9,18.3,27.2,27.2,26.7,26.4,23.0,21.9,21.7,21.6,19.2,17.6,18.5,20.6,18.69,19.512,20.185,20.182,20.031,20.725
grc,Greece,2.663,4.0,5.8,7.9,8.1,7.8,7.4,7.4,7.7,7.5,7.0,7.7,8.7,9.7,9.6,10.0,10.3,10.3,11.2,12.125,11.35,10.775,10.35,9.775,10.6,10.0,9.0,8.4,7.75,9.6,12.725,17.85,24.425,27.475,26.5,24.9,23.55,21.45,19.3,17.325,16.4,15.003,12.6,12.185,11.397,10.996,10.696,10.394
hkg,Hong Kong SAR,3.8,3.9,3.522,4.35,3.875,3.182,2.819,1.737,1.365,1.079,1.332,1.797,1.959,1.971,1.919,3.186,2.765,2.201,4.704,6.251,4.946,5.086,7.32,7.94,6.809,5.591,4.79,4.011,3.519,5.262,4.329,3.421,3.286,3.401,3.296,3.315,3.393,3.124,2.805,2.916,5.808,5.173,4.506,3.957,3.67,3.402,3.133,2.863
hnd,Honduras,6.864,7.018,6.667,6.504,6.349,6.818,6.667,7.092,6.944,6.667,4.267,4.58,3.06,3.157,3.202,3.24,4.37,3.32,4.02,3.85,3.918,4.0,4.02,5.3,5.99,4.909,3.575,3.211,3.156,3.292,4.119,4.474,3.754,4.096,5.488,6.147,6.727,5.528,5.648,5.386,10.912,8.569,4.559,4.559,4.576,4.639,4.606,4.574
hrv,Croatia,,,,,,,,,,,,13.159,15.253,14.775,14.48,14.5,9.952,9.906,11.637,18.633,20.592,21.508,21.783,19.067,17.783,17.583,16.525,14.733,13.033,14.517,17.167,17.367,18.6,19.808,19.275,17.067,14.958,12.433,9.858,7.758,9.0,8.092,6.899,6.554,6.094,5.818,5.634,5.449
hun,Hungary,0.607,0.232,0.154,0.173,0.117,0.041,0.212,0.315,0.463,0.531,2.082,8.415,9.303,11.29,10.118,10.17,9.89,8.73,7.8,7.0,6.433,5.74,5.843,5.901,6.122,6.8,7.075,7.0,7.468,9.681,10.801,10.655,10.668,9.849,7.511,6.626,4.971,4.041,3.596,3.309,4.115,4.071,3.408,3.848,3.563,3.372,3.228,3.132
idn,Indonesia,,,,,1.62,2.22,2.75,2.64,2.89,2.86,2.59,2.67,2.79,2.83,4.47,7.42,4.998,4.77,5.46,6.36,6.08,8.1,9.06,9.67,9.86,11.24,10.28,9.11,8.39,7.87,7.14,6.56,6.14,6.25,5.94,6.18,5.61,5.5,5.24,5.18,7.07,6.49,5.5,5.3,5.2,5.1,5.1,5.1
irl,Ireland,,,,,,17.7,18.1,18.8,18.4,17.9,17.2,19.0,16.3,16.7,15.1,14.1,11.8,9.858,7.55,5.908,4.392,4.183,4.725,4.85,4.75,4.633,4.775,5.0,6.808,12.642,14.592,15.4,15.492,13.767,11.9,9.917,8.383,6.75,5.783,4.983,5.842,6.25,4.73,4.801,4.801,4.849,4.774,4.801
irn,Islamic Republic of Iran,,,,,,,,,,,14.2,10.0,10.0,10.0,10.0,10.0,9.085,11.897,13.569,15.777,16.046,16.626,12.2,11.3,12.3,11.5,11.3,10.5,10.4,11.9,13.5,12.3,12.1,10.4,10.6,11.0,12.425,12.075,12.125,10.65,9.6,9.175,9.381,9.645,9.908,9.953,9.998,9.998
isl,Iceland,0.313,0.365,0.67,1.022,1.254,0.906,0.656,0.441,0.636,1.658,2.594,2.925,4.665,5.764,5.776,5.25,4.153,4.204,3.314,2.489,2.633,2.791,3.515,3.525,3.417,2.883,3.2,2.492,3.325,8.008,8.317,7.7,6.617,5.833,5.417,4.5,3.342,3.283,3.1,3.925,6.433,6.017,4.0,4.0,4.0,4.0,4.0,4.0
isr,Israel,4.78,5.115,5.048,4.562,5.893,6.693,7.078,6.057,6.428,8.881,9.567,10.585,11.155,10.015,7.828,6.863,8.325,9.525,10.675,11.075,10.9,11.625,12.875,13.4,12.9,11.2,10.45,9.15,7.65,9.425,8.25,7.05,6.867,6.208,5.875,5.242,4.825,4.225,3.975,3.817,4.3,4.95,3.9,3.8,3.7,3.7,3.7,3.7
ita,Italy,7.37,7.649,8.288,7.367,7.833,8.167,8.867,9.617,9.683,9.667,8.858,8.533,8.808,9.833,10.633,11.15,11.15,11.242,11.333,10.942,10.1,9.1,8.608,8.45,8.025,7.75,6.867,6.208,6.8,7.867,8.483,8.6,10.9,12.358,12.775,12.025,11.708,11.308,10.625,9.892,9.342,9.517,8.8,9.4,9.32,9.2,9.1,9.0
